"depot","route_no","line_id"
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
7,"781",U781001
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
4,"402",U402002
5,"580",U580002
5,"580",U580002
5,"580",U580002
5,"580",U580002
5,"580",U580002
5,"580",U580002
5,"580",U580002
5,"580",U580002
5,"580",U580002
5,"580",U580002
5,"580",U580002
